Nazwa,Cena,Nominał,Stop,Rant,Producent,Waga,Średnica
Pingwin Czubaty 1 uncja Srebra 2020,"132,70 zł",1$,Ag .999,Ząbkowany,New Zealand Post,1 uncja,40 mm
Wielka Piątka: Nosorożec 1 Uncja Srebra 2020,"395,00 zł",5 Rand,Ag .999,Ząbkowany,The South Africa Mint,1 uncja,"38,7 mm"
Australijski Kangur 1 uncja Srebra 2020,"127,65 zł",1 AUD,Ag .9999,Ząbkowany naprzemiennie,Perth Mint,1 uncja,"40,6 mm"
Koala 1 uncja Srebra 2020,"185,98 zł",1$,Ag .9999,Ząbkowany,Perth Mint,1 uncja,"40,6 mm"
Australijski Emu 1 uncja Srebra 2018 Proof Certyfikat od 1 do 20,,1 AUD,Ag .9999,Ząbkowany,Perth Mint,1 uncja,"40,6 mm"
Australijski Emu 1 uncja Srebra 2019 Proof Certyfikat od 1 do 20,,1 AUD,Ag .9999,Ząbkowany,Perth Mint,1 uncja,"40,6 mm"
Australijski Emu 1 uncja Srebra 2019,"226,15 zł",1 AUD,Ag .9999,Ząbkowany,Perth Mint,1 uncja,"40,6 mm"
Australijski Emu 1 uncja Srebra 2019 Proof,"210,00 zł",1 AUD,Ag .9999,Ząbkowany,Perth Mint,1 uncja,"40,6 mm"
Australijski Emu 1 uncja Srebra 2018 Proof,"220,00 zł",1 AUD,Ag .9999,Ząbkowany,Perth Mint,1 uncja,"40,6 mm"
Orzeł Australijski 1 uncja Srebra 2018,"201,03 zł",1$,Ag .9999,Ząbkowany,Perth Mint,1 uncja,"40,6 mm"
Australijski Emu 1 uncja Srebra 2018,"299,53 zł",1 AUD,Ag .9999,Ząbkowany,Perth Mint,1 uncja,"40,6 mm"
Tokelau: Zodiac Series - Strzelec 1 uncja Srebra 2021 ,"145,00 zł",5 $,Ag .999,Ząbkowany,,1 uncja,"38,6 mm"
Tokelau: Zodiac Series - Ryby 1 uncja Srebra 2021 ,"145,00 zł",5 $,Ag .999,Ząbkowany,,1 uncja,"38,6 mm"
Tokelau: Zodiac Series - Waga 1 uncja Srebra 2021 ,"145,00 zł",5 $,Ag .999,Ząbkowany,,1 uncja,"38,6 mm"
Tokelau: Zodiac Series - Lew 1 uncja Srebra 2021 ,"145,00 zł",5 $,Ag .999,Ząbkowany,,1 uncja,"38,6 mm"
Tokelau: Zodiac Series - Bliźnięta 1 uncja Srebra 2021 ,"145,00 zł",5 $,Ag .999,Ząbkowany,,1 uncja,"38,6 mm"
Tokelau: Zodiac Series - Koziorożec 1 uncja Srebra 2021 ,"145,00 zł",5 $,Ag .999,Ząbkowany,,1 uncja,"38,6 mm"
Tokelau: Zodiac Series - Rak 1 uncja Srebra 2021 ,"145,00 zł",5 $,Ag .999,Ząbkowany,,1 uncja,"38,6 mm"
Tokelau: Zodiac Series - Baran 1 uncja Srebra 2021 ,"145,00 zł",5 $,Ag .999,Ząbkowany,,1 uncja,"38,6 mm"
Tokelau: Zodiac Series - Wodnik 1 uncja Srebra 2021 ,"145,00 zł",5 $,Ag .999,Ząbkowany,,1 uncja,"38,6 mm"
Congo: Prehistoric Life - Mamut 1 uncja Srebra 2021 ,"159,00 zł",20 Franc,Ag .999,Ząbkowany,,1 uncja,"38,6 mm"
Quokka 1 uncja Srebra 2021 Kolorowany Proof,"295,00 zł",1 AUD,Ag .9999,Ząbkowany,Perth Mint,1 uncja,"40,9 mm"
The Great Old One: Cthulhu 1 uncja Srebra 2021,"149,00 zł",2$,Ag .999,,Private Mint,1 uncja,39 mm
Anguilla: Coat of Arms 1 uncja Srebra 2020,"145,00 zł",2$,Ag .999,Ząbkowany,Scottsdale Mint,1 uncja,39 mm
Equilibrium 1 uncja Srebra 2018,"149,00 zł",5$,Ag .999,Ząbkowany,Pressburg Mint,1 uncja,38 mm
Wielka Piątka: Bawół 1 Uncja Srebra 2021,"299,00 zł",5 Rand,Ag .999,Ząbkowany,The South Africa Mint,1 uncja,"38,7 mm"
Saint Vincent i Grenadyny: Pax Et Justitia 1 uncja Srebra 2020,"145,00 zł",2$,Ag .999,Ząbkowany,Scottsdale Mint,1 uncja,39 mm
One Love 1 uncja Srebra 2021 Proof,"315,00 zł",1 AUD,Ag .9999,Ząbkowany,Perth Mint,1 uncja,"40,9 mm"
Urodziny 1 uncja Srebra 2021 Proof,"315,00 zł",1 AUD,Ag .9999,Ząbkowany,Perth Mint,1 uncja,"40,9 mm"
Amerykański Orzeł 1 uncja Srebra 2021,"183,25 zł",1$,Ag .999,Ząbkowany,United States Mint,1 uncja,"40,6 mm"
Krugerrand 1 uncja Srebra 2021,"130,91 zł",1 Rand,Ag .999,Ząbkowany,The South Africa Mint,1 uncja,"38,7 mm"
Kanadyjski Liść Klonowy 1 uncja Srebra 2021,"129,91 zł",5$,Ag .9999,Ząbkowany,Royal Canadian Mint,1 uncja,38 mm
Ślub 1 uncja Srebra 2021 Proof,"315,00 zł",1$,Ag .9999,Ząbkowany,Perth Mint,1 uncja,"40,9 mm"
Rwanda: African Ounce - Okapi 1 uncja Srebra 2021 Proof,"425,00 zł",50 RWF Franc,Ag .999,Ząbkowany,Bayer Mint,1 uncja,40 mm
Rwanda: African Ounce - Okapi 1 uncja Srebra 2021,"159,00 zł",50 RWF Franc,Ag .999,Ząbkowany,Bayer Mint,1 uncja,40 mm
Montserrat Oriole 1 uncja Srebra 2020,"150,00 zł",2$,Ag .999,Ząbkowany,Scottsdale Mint,1 uncja,39 mm
Ghana: Leopard 1 uncja Srebra 2020,"150,00 zł",5 CEDIS,Ag .999,Ząbkowany,Scottsdale Mint,1 uncja,"38,6 mm"
Kiwi 1 uncja Srebra 2019,"259,00 zł",1$,Ag .999,Ząbkowany,New Zealand Post,1 uncja,40 mm
Kiwi 1 uncja Srebra 2018,"259,00 zł",1$,Ag .999,Ząbkowany,New Zealand Post,1 uncja,40 mm
Kiwi 1 uncja Srebra 2017,"259,00 zł",1$,Ag .999,Ząbkowany,New Zealand Post,1 uncja,40 mm
Britannia 1 uncja Srebra 2021,"128,91 zł",£2,Ag .999,Ząbkowany,The Royal Mint,1 uncja,"38,61 mm"
